row,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10,pick_11,pick_12,pick_13
team,COL,DAL,TBL,SEA,MTL,LAK,TOR,CAR,NYI,NJD,PIT,PHI,SJS
ml,-572,-244,-236,-196,-166,-158,-156,-140,-128,-126,-117,-106,-101
prob,85.1%,70.9%,70.3%,66.2%,62.4%,61.3%,60.9%,58.3%,56.2%,55.7%,53.9%,51.4%,50.2%
potd,"COL - dominant metrics, CHI backup likely",,,,,,,,,,,,
